"clip_id","time_range","speaker","dialogue","visual_purpose","input_image","target_duration","doubao_prompt","edit_notes","output_file"
"scene_001_a","00:00.0-00:04.0","迪莫","以前我这一招叫战术核心。","迪莫先认真回忆旧强度，画面重点是木桩旁的弱折射。","E:/luokewangguo/AI漫剧/001/04_图片/scene_001_a_key.png","4s","保持起始图的针毡毛绒定格动画风格和角色造型。迪莫站在训练木桩旁边，表情认真，只做轻微呼吸和眨眼。木桩周围有很弱的蓝色棱镜分光和小星光，像折射技能被削弱后还残留一点效果。镜头非常缓慢推近木桩，不要让迪莫抬爪、挥手或施法。不要文字、字幕、水印、logo、对话气泡。不要从迪莫身上发射光束，不要新增角色，不要变形。","前 0.5 秒可空镜，台词从 00:01 左右进。字幕和配音后期加，不指望豆包生成口型。","E:/luokewangguo/AI漫剧/001/05_图生视频/scene_001_a_doubao.mp4"
"scene_001_b","00:04.0-00:09.5","迪莫","现在怎么像给木桩补光？","迪莫无语吐槽，弱光笑点要明确。","E:/luokewangguo/AI漫剧/001/04_图片/scene_001_b_key.png","5s","保持起始图的针毡毛绒定格动画风格。迪莫在木桩旁露出无语吐槽表情，木桩周围只有非常弱的蓝色棱镜补光，像小夜灯一样轻轻闪烁。镜头稳定中近景，只允许轻微眨眼、呼吸和头部小动作。不要文字、字幕、水印、logo、对话气泡。不要施法动作，不要光束、电流、爆炸，不要角色变形。","这句是第一个包袱，剪辑时让画面在“弱光闪一下”处卡字幕。","E:/luokewangguo/AI漫剧/001/05_图生视频/scene_001_b_doubao.mp4"
"scene_002_a","00:09.5-00:12.0","无对白","彩虹独角兽登场。","无对白登场镜头，用来给后面道歉留气场。","E:/luokewangguo/AI漫剧/001/04_图片/scene_002_a_key.png","3s","保持起始图的针毡毛绒定格动画风格。彩虹独角兽保持四足精灵形态，从训练场一侧带着柔和彩虹光缓慢登场，步伐小，鬃毛和彩虹光轻微飘动，表情认真自信但不攻击。镜头轻微平移后停住。不要文字、字幕、水印、logo、对话气泡。不要人形、骑士、铠甲、武器，不要新增角色，不要冲刺，不要变形。","这段不要塞台词，作为转场和角色登场。","E:/luokewangguo/AI漫剧/001/05_图生视频/scene_002_a_doubao.mp4"
"scene_002_b","00:12.0-00:19.0","彩虹独角兽","迪莫，这次折射被削，确实有我的一份原因。","道歉只做一次，表情认真但不卑微。","E:/luokewangguo/AI漫剧/001/04_图片/scene_002_b_key.png","7s","保持起始图的针毡毛绒定格动画风格。彩虹独角兽站定看向画面外的迪莫，认真低头一下再抬头，像在承认问题但不卑微。彩虹光柔和流动，镜头稳定中景。不要文字、字幕、水印、logo、对话气泡。不要把彩虹独角兽变成人形、骑士或铠甲角色，不要新增角色，不要夸张嘴型，不要变形。","这句较长，视频不够长就用慢速、定帧或接一个静帧反应，不要硬做夸张口型。","E:/luokewangguo/AI漫剧/001/05_图生视频/scene_002_b_doubao.mp4"
"scene_003_a","00:19.0-00:23.0","迪莫","你先别动。你一出现，我怕策划又想起折射。","迪莫打断，喜剧节奏要快。","E:/luokewangguo/AI漫剧/001/04_图片/scene_003_a_key.png","4s","保持起始图的针毡毛绒定格动画风格。迪莫和彩虹独角兽同框，迪莫微微后仰或歪头，像紧张地吐槽；彩虹独角兽停住认真听。镜头稳定双人中景，只有轻微呼吸、眨眼和头部小动作。不要文字、字幕、水印、logo、对话气泡。不要新增角色，不要技能光束，不要打斗，不要变形。","这句靠配音语气出笑点，画面只要有迪莫的反应。","E:/luokewangguo/AI漫剧/001/05_图生视频/scene_003_a_doubao.mp4"
"scene_003_b","00:23.0-00:29.0","彩虹独角兽","我在 PVP 里太强势，连累你了。这个锅我认。","彩虹独角兽承认问题，仍保持强者气场。","E:/luokewangguo/AI漫剧/001/04_图片/scene_003_b_key.png","6s","保持起始图的针毡毛绒定格动画风格。彩虹独角兽认真点头，低头幅度很小，像承认问题但不卑微；迪莫在旁边看着它。镜头稳定双人中景，动作克制。不要文字、字幕、水印、logo、对话气泡。彩虹独角兽不要人形，不要铠甲，不要武器，不要新增角色，不要夸张嘴型，不要变形。","这句需要留 0.2 秒停顿后再接迪莫吐槽。","E:/luokewangguo/AI漫剧/001/05_图生视频/scene_003_b_doubao.mp4"
"scene_003_c","00:29.0-00:34.5","迪莫","你那强度确实离谱，PVP 上谁碰到你都得挨打。","迪莫吐槽 PVP 强度，彩虹独角兽略尴尬。","E:/luokewangguo/AI漫剧/001/04_图片/scene_003_c_key.png","5s","保持起始图的针毡毛绒定格动画风格。迪莫露出吐槽表情，轻轻点头或微微歪头；彩虹独角兽保持自信但略尴尬。镜头稳定双人中景，不要打斗。不要文字、字幕、水印、logo、对话气泡。不要攻击特效，不要新增角色，不要角色变形。","可以在句尾留 0.5 秒彩虹独角兽反应。","E:/luokewangguo/AI漫剧/001/05_图生视频/scene_003_c_doubao.mp4"
"scene_004_a","00:34.5-00:40.5","彩虹独角兽","虽然我一层折射起来就很强，但削弱这件事，策划也不能一刀切吧？","进入共同吐槽，彩虹独角兽从道歉转为分析。","E:/luokewangguo/AI漫剧/001/04_图片/scene_004_a_key.png","6s","保持起始图的针毡毛绒定格动画风格。迪莫和彩虹独角兽同框，彩虹独角兽认真吐槽，轻轻摇头；迪莫在旁边听。背景训练场和彩虹光轻微摇曳，镜头稳定。不要文字、字幕、水印、logo、对话气泡。不要技能光束，不要打斗，不要人形独角兽，不要变形。","这句不要让彩虹独角兽显得卑微，它是在讲道理。","E:/luokewangguo/AI漫剧/001/05_图生视频/scene_004_a_doubao.mp4"
"scene_004_b","00:40.5-00:43.0","迪莫","终于说到重点了。","迪莫接住观点，作为节奏转折。","E:/luokewangguo/AI漫剧/001/04_图片/scene_004_b_key.png","3s","保持起始图的针毡毛绒定格动画风格。迪莫轻轻点头，表情像终于听到重点；彩虹独角兽在旁边停住看向迪莫。镜头稳定中景，动作非常小。不要文字、字幕、水印、logo、对话气泡。不要新增角色，不要变形，不要技能特效。","短句不要生成太长，剪辑时可以只用 2 秒左右。","E:/luokewangguo/AI漫剧/001/05_图生视频/scene_004_b_doubao.mp4"
"scene_004_c","00:43.0-00:49.0","彩虹独角兽","我启动快，应该调我的体系。结果折射一削，连你这种靠折射吃饭的也一起挨刀。","彩虹独角兽解释一刀切问题。","E:/luokewangguo/AI漫剧/001/04_图片/scene_004_c_key.png","6s","保持起始图的针毡毛绒定格动画风格。彩虹独角兽轻轻摇头，像在分析削弱逻辑；迪莫在旁边认真听。镜头稳定双人中景，彩虹光轻微流动。不要文字、字幕、水印、logo、对话气泡。不要人形、铠甲、武器，不要新增角色，不要打斗，不要变形。","这句长，字幕可拆成两条：前半讲体系，后半讲一起挨刀。","E:/luokewangguo/AI漫剧/001/05_图生视频/scene_004_c_doubao.mp4"
