"clip_id","output_file","source_reference","positive_prompt","negative_prompt","notes"
"scene_001_a","04_图片/scene_001_a_key.png","04_图片/scene_001_felt_v1.png","毛毡定格动画风格，保持迪莫造型一致。迪莫站在训练木桩旁边，表情认真又有点怀念，木桩周围有弱弱的蓝色棱镜分光和小星光，像折射技能被削弱后只剩微弱效果。中景，训练场背景，柔和光线，无文字无气泡。","text, watermark, logo, subtitle, speech bubble, thought bubble, comic bubble, readable text, hand casting, paw casting, beam from Dimo, electricity, explosion, extra characters, character deformation, smooth plastic 3d, flat anime lineart","对应台词：以前我这一招叫战术核心。"
"scene_001_b","04_图片/scene_001_b_key.png","04_图片/scene_001_felt_v1.png","毛毡定格动画风格，保持迪莫造型一致。镜头更靠近木桩和折射效果，迪莫在旁边一脸无语，木桩周围只有很弱的蓝色棱镜光和柔和补光感，喜剧吐槽氛围。无文字无气泡。","text, watermark, logo, subtitle, speech bubble, thought bubble, comic bubble, readable text, hand casting, paw casting, beam from Dimo, electricity, explosion, extra characters, character deformation, smooth plastic 3d, flat anime lineart","对应台词：现在怎么像给木桩补光？"
"scene_002_a","04_图片/scene_002_a_key.png","04_图片/scene_002_felt_v1.png","毛毡定格动画风格，保持彩虹独角兽四足精灵形态一致。彩虹独角兽从训练场一侧带着柔和彩虹光登场，气场强但不攻击，表情认真自信。中远景，训练场背景，无文字无气泡。","text, watermark, logo, subtitle, speech bubble, thought bubble, comic bubble, readable text, humanoid unicorn, armor warrior, weapon, extra characters, character deformation, smooth plastic 3d, flat anime lineart","对应动作：彩虹独角兽登场，无对白。"
"scene_002_b","04_图片/scene_002_b_key.png","04_图片/scene_002_felt_v1.png","毛毡定格动画风格，保持彩虹独角兽四足精灵形态一致。彩虹独角兽站定，认真看向画面外的迪莫，表情像在承认问题但不卑微，彩虹光柔和。中景，无文字无气泡。","text, watermark, logo, subtitle, speech bubble, thought bubble, comic bubble, readable text, humanoid unicorn, armor warrior, weapon, extra characters, exaggerated mouth, character deformation, smooth plastic 3d, flat anime lineart","对应台词：这次折射被削，确实有我的一份原因。"
"scene_003_a","04_图片/scene_003_a_key.png","04_图片/scene_003_felt_v1.png","毛毡定格动画风格，保持迪莫和彩虹独角兽造型一致。两只精灵同框聊天，迪莫微微后仰或歪头，表情像在紧张吐槽；彩虹独角兽停住认真听。稳定双人中景，训练场背景，无文字无气泡。","text, watermark, logo, subtitle, speech bubble, thought bubble, comic bubble, readable text, humanoid unicorn, armor warrior, weapon, skill beam, fighting, extra characters, character deformation","对应台词：你先别动。你一出现，我怕策划又想起折射。"
"scene_003_b","04_图片/scene_003_b_key.png","04_图片/scene_003_felt_v1.png","毛毡定格动画风格，保持迪莫和彩虹独角兽造型一致。彩虹独角兽认真低头承认问题，迪莫在旁边看着它，气氛是道歉一次但不卑微。稳定双人中景，无文字无气泡。","text, watermark, logo, subtitle, speech bubble, thought bubble, comic bubble, readable text, humanoid unicorn, armor warrior, weapon, extra characters, exaggerated mouth, character deformation","对应台词：我在 PVP 里太强势，连累你了。这个锅我认。"
"scene_003_c","04_图片/scene_003_c_key.png","04_图片/scene_003_felt_v1.png","毛毡定格动画风格，保持迪莫和彩虹独角兽造型一致。迪莫露出吐槽表情，彩虹独角兽自信中带一点尴尬，两只精灵面对面聊天。训练场背景，稳定双人中景，无文字无气泡。","text, watermark, logo, subtitle, speech bubble, thought bubble, comic bubble, readable text, fighting, attack effects, extra characters, character deformation, humanoid unicorn, armor warrior","对应台词：你那强度确实离谱。"
"scene_004_a","04_图片/scene_004_a_key.png","04_图片/scene_004_felt_v1.png","毛毡定格动画风格，保持迪莫和彩虹独角兽造型一致。彩虹独角兽认真吐槽和分析，轻轻摇头，迪莫在旁边听。训练场背景和彩虹光柔和，稳定双人中景，无文字无气泡。","text, watermark, logo, subtitle, speech bubble, thought bubble, comic bubble, readable text, attack effects, extra characters, character deformation, humanoid unicorn, armor warrior","对应台词：削弱这件事，策划也不能一刀切吧？"
"scene_004_b","04_图片/scene_004_b_key.png","04_图片/scene_004_felt_v1.png","毛毡定格动画风格，保持迪莫和彩虹独角兽造型一致。迪莫轻轻点头，表情像终于听到重点；彩虹独角兽在旁边看向迪莫。训练场背景，稳定中景，无文字无气泡。","text, watermark, logo, subtitle, speech bubble, thought bubble, comic bubble, readable text, extra characters, character deformation, humanoid unicorn, armor warrior, attack effects","对应台词：终于说到重点了。"
"scene_004_c","04_图片/scene_004_c_key.png","04_图片/scene_004_felt_v1.png","毛毡定格动画风格，保持迪莫和彩虹独角兽造型一致。彩虹独角兽轻轻摇头，像在认真解释自己的体系问题；迪莫在旁边认真听。稳定双人中景，彩虹光轻微流动，无文字无气泡。","text, watermark, logo, subtitle, speech bubble, thought bubble, comic bubble, readable text, fighting, skill beam, extra characters, character deformation, humanoid unicorn, armor warrior","对应台词：我启动快，应该调我的体系。"
"scene_004_d","04_图片/scene_004_d_key.png","04_图片/scene_004_felt_v1.png","毛毡定格动画风格，保持迪莫和彩虹独角兽造型一致。迪莫无奈吐槽，旁边有极弱的柔和光晕像手电筒笑点，但不要从迪莫身上发射光束；彩虹独角兽看着迪莫。训练场背景，无文字无气泡。","text, watermark, logo, subtitle, speech bubble, thought bubble, comic bubble, readable text, hand casting, paw casting, beam from Dimo, electricity, explosion, extra characters, character deformation","对应台词：我在 PVE 也跟着挨刀，像开了个手电筒。"
"scene_004_e","04_图片/scene_004_e_key.png","04_图片/scene_004_felt_v1.png","毛毡定格动画风格，保持迪莫和彩虹独角兽造型一致。彩虹独角兽带一点自嘲笑意，周围彩虹光像柔和氛围灯一样发亮，迪莫在旁边准备接话。稳定双人中景，无文字无气泡。","text, watermark, logo, subtitle, speech bubble, thought bubble, comic bubble, readable text, extra characters, attack effects, character deformation, humanoid unicorn, armor warrior","对应台词：以前叫彩虹战术，现在像彩虹氛围灯。"
"scene_004_f","04_图片/scene_004_f_key.png","04_图片/scene_004_felt_v1.png","毛毡定格动画风格，保持迪莫和彩虹独角兽造型一致。迪莫和彩虹独角兽互相看一眼一起笑，轻松喜剧收尾，训练场背景和彩虹光柔和摇曳。稳定双人中景，无文字无气泡。","text, watermark, logo, subtitle, speech bubble, thought bubble, comic bubble, readable text, explosion, attack effects, extra characters, exaggerated mouth, character deformation, humanoid unicorn, armor warrior","对应台词：咱俩可以组个照明队。"
